created_on,Consumption,Status
2022-04-17 03:43:40+00:00,280,Normal
2022-04-17 03:48:40+00:00,109,Normal
2022-04-17 03:53:42+00:00,4,Normal
2022-04-17 03:58:40+00:00,0,Normal
2022-04-17 04:03:40+00:00,98,Normal
2022-04-17 04:10:44+00:00,131,Normal
2022-04-17 04:13:41+00:00,2,Normal
2022-04-17 04:18:40+00:00,0,Normal
2022-04-17 04:23:41+00:00,26,Normal
2022-04-17 04:28:41+00:00,193,Normal
2022-04-17 04:33:40+00:00,28,Normal
2022-04-17 04:40:44+00:00,5,Normal
2022-04-17 04:43:40+00:00,12,Normal
2022-04-17 04:48:41+00:00,4,Normal
2022-04-17 04:53:42+00:00,5,Normal
2022-04-17 04:58:40+00:00,10,Normal
2022-04-17 05:03:40+00:00,11,Normal
2022-04-17 05:10:44+00:00,700,Normal
2022-04-17 05:13:41+00:00,318,Normal
2022-04-17 05:18:39+00:00,79,Normal
2022-04-17 05:23:40+00:00,0,Normal
2022-04-17 05:28:41+00:00,0,Normal
2022-04-17 05:33:41+00:00,2,Normal
2022-04-17 05:40:46+00:00,64,Normal
2022-04-17 05:43:40+00:00,6,Normal
2022-04-17 05:48:40+00:00,39,Normal
2022-04-17 05:53:40+00:00,141,Normal
2022-04-17 05:58:40+00:00,0,Normal
2022-04-17 06:03:39+00:00,0,Normal
2022-04-17 06:10:45+00:00,0,Normal
2022-04-17 06:13:42+00:00,66,Normal
2022-04-17 06:18:42+00:00,25,Normal
2022-04-17 06:23:39+00:00,0,Normal
2022-04-17 06:28:41+00:00,42,Normal
2022-04-17 06:33:40+00:00,2,Normal
2022-04-17 06:40:46+00:00,10,Normal
2022-04-17 06:43:42+00:00,2,Normal
2022-04-17 06:48:43+00:00,54,Normal
2022-04-17 06:53:43+00:00,4,Normal
2022-04-17 06:58:42+00:00,27,Normal
2022-04-17 07:03:40+00:00,86,Normal
2022-04-17 07:10:45+00:00,283,Normal
2022-04-17 07:13:42+00:00,179,Normal
2022-04-17 07:18:42+00:00,376,Normal
2022-04-17 07:23:43+00:00,16,Normal
2022-04-17 07:28:43+00:00,92,Normal
2022-04-17 07:33:40+00:00,64,Normal
2022-04-17 07:40:43+00:00,25,Normal
2022-04-17 07:43:42+00:00,33,Normal
2022-04-17 07:48:40+00:00,56,Normal
2022-04-17 07:53:40+00:00,75,Normal
2022-04-17 07:58:40+00:00,37,Normal
2022-04-17 08:03:40+00:00,505,Normal
2022-04-17 08:10:46+00:00,166,Normal
2022-04-17 08:13:41+00:00,287,Normal
2022-04-17 08:18:40+00:00,503,Normal
2022-04-17 08:23:39+00:00,493,Normal
2022-04-17 08:28:41+00:00,498,Normal
2022-04-17 08:33:41+00:00,499,Normal
2022-04-17 08:40:45+00:00,603,Normal
2022-04-17 08:43:40+00:00,245,Normal
2022-04-17 08:48:41+00:00,493,Normal
2022-04-17 08:53:39+00:00,505,Normal
2022-04-17 08:58:41+00:00,501,Normal
2022-04-17 09:03:40+00:00,502,Normal
2022-04-17 09:10:46+00:00,299,Normal
2022-04-17 09:13:43+00:00,13,Normal
2022-04-17 09:18:45+00:00,64,Normal
2022-04-17 09:23:41+00:00,18,Normal
2022-04-17 09:28:41+00:00,40,Normal
2022-04-17 09:33:42+00:00,70,Normal
2022-04-17 09:40:44+00:00,32,Normal
2022-04-17 09:43:41+00:00,6,Normal
2022-04-17 09:48:42+00:00,22,Normal
2022-04-17 09:53:41+00:00,0,Normal
2022-04-17 09:58:39+00:00,9,Normal
2022-04-17 10:03:41+00:00,77,Normal
2022-04-17 10:10:47+00:00,1,Normal
2022-04-17 10:13:42+00:00,14,Normal
2022-04-17 10:18:40+00:00,0,Normal
2022-04-17 10:23:42+00:00,0,Normal
2022-04-17 10:28:40+00:00,212,Normal
2022-04-17 10:33:42+00:00,80,Normal
2022-04-17 10:40:45+00:00,300,Normal
2022-04-17 10:43:41+00:00,312,Normal
2022-04-17 10:48:41+00:00,536,Normal
2022-04-17 10:53:40+00:00,530,Normal
2022-04-17 10:58:42+00:00,528,Normal
2022-04-17 11:03:41+00:00,528,Normal
2022-04-17 11:10:45+00:00,746,Normal
2022-04-17 11:13:42+00:00,263,Normal
2022-04-17 11:18:42+00:00,524,Normal
2022-04-17 11:23:41+00:00,191,Normal
2022-04-17 11:28:41+00:00,319,Normal
2022-04-17 11:33:41+00:00,522,Normal
2022-04-17 11:40:46+00:00,301,Normal
2022-04-17 11:43:40+00:00,154,Normal
2022-04-17 11:48:40+00:00,9,Normal
2022-04-17 11:53:41+00:00,28,Normal
2022-04-17 11:58:40+00:00,17,Normal
2022-04-17 12:03:41+00:00,0,Normal
2022-04-17 12:10:46+00:00,13,Normal
2022-04-17 12:13:40+00:00,0,Normal
2022-04-17 12:18:41+00:00,0,Normal
2022-04-17 12:23:40+00:00,0,Normal
2022-04-17 12:28:41+00:00,14,Normal
2022-04-17 12:33:41+00:00,31,Normal
2022-04-17 12:40:49+00:00,53,Normal
2022-04-17 12:43:41+00:00,115,Normal
2022-04-17 12:48:41+00:00,11,Normal
2022-04-17 12:53:40+00:00,0,Normal
2022-04-17 12:58:41+00:00,29,Normal
2022-04-17 13:03:41+00:00,24,Normal
2022-04-17 13:10:44+00:00,23,Normal
2022-04-17 13:13:41+00:00,0,Normal
2022-04-17 13:18:41+00:00,0,Normal
2022-04-17 13:23:40+00:00,7,Normal
2022-04-17 13:28:41+00:00,70,Normal
2022-04-17 13:33:41+00:00,528,Normal
2022-04-17 13:40:45+00:00,758,Normal
2022-04-17 13:43:41+00:00,312,Normal
2022-04-17 13:48:42+00:00,135,Normal
2022-04-17 13:53:41+00:00,2,Normal
2022-04-17 13:58:41+00:00,594,Normal
2022-04-17 14:03:43+00:00,4,Normal
2022-04-17 14:10:44+00:00,98,Normal
2022-04-17 14:13:41+00:00,0,Normal
2022-04-17 14:18:43+00:00,21,Normal
2022-04-17 14:23:42+00:00,40,Normal
2022-04-17 14:28:41+00:00,63,Normal
2022-04-17 14:33:42+00:00,12,Normal
2022-04-17 14:40:47+00:00,599,Normal
2022-04-17 14:43:43+00:00,13,Normal
2022-04-17 14:48:41+00:00,0,Normal
2022-04-17 14:53:43+00:00,0,Normal
2022-04-17 14:58:41+00:00,18,Normal
2022-04-17 15:03:40+00:00,5,Normal
2022-04-17 15:10:46+00:00,11,Normal
2022-04-17 15:13:42+00:00,0,Normal
2022-04-17 15:18:41+00:00,0,Normal
2022-04-17 15:23:42+00:00,0,Normal
2022-04-17 15:28:41+00:00,0,Normal
2022-04-17 15:33:41+00:00,0,Normal
2022-04-17 15:40:46+00:00,483,Normal
2022-04-17 15:43:43+00:00,304,Normal
2022-04-17 15:48:39+00:00,511,Normal
2022-04-17 15:53:40+00:00,543,Normal
2022-04-17 15:58:42+00:00,545,Normal
2022-04-17 16:03:41+00:00,95,Normal
2022-04-17 16:10:45+00:00,4,Normal
2022-04-17 16:13:41+00:00,5,Normal
2022-04-17 16:18:41+00:00,0,Normal
2022-04-17 16:23:43+00:00,71,Normal
2022-04-17 16:28:42+00:00,20,Normal
2022-04-17 16:33:42+00:00,96,Normal
2022-04-17 16:40:48+00:00,57,Normal
2022-04-17 16:43:41+00:00,0,Normal
2022-04-17 16:48:41+00:00,0,Normal
2022-04-17 16:53:42+00:00,4,Normal
